tier,year_month,median_pace,p25,p75,run_count,athlete_count,avg_runs_per_athlete
Low (0-1x/wk),2016-10-01,4.3283707852711215,4.3283707852711215,4.3283707852711215,1,9,0.1111111111111111
Low (0-1x/wk),2016-11-01,4.828351362307709,4.828351362307709,4.828351362307709,1,9,0.1111111111111111
Low (0-1x/wk),2016-12-01,5.500093566680499,5.500093566680499,5.500093566680499,1,9,0.1111111111111111
Low (0-1x/wk),2017-01-01,5.18779216167141,5.0913360122910705,5.342031578852206,4,9,0.4444444444444444
Low (0-1x/wk),2017-03-01,5.54783474661296,5.525927009522592,5.65570237271776,3,9,0.3333333333333333
Low (0-1x/wk),2017-04-01,5.343553708696277,5.289188836645517,5.397918580747038,2,9,0.2222222222222222
Low (0-1x/wk),2017-05-01,5.458063398246105,5.3873428037380995,5.721365460753917,3,9,0.3333333333333333
Low (0-1x/wk),2017-06-01,5.654967352183113,5.601326924439054,5.708607779927172,2,9,0.2222222222222222
Low (0-1x/wk),2017-08-01,5.76921314717781,5.370839298644742,6.167586995710878,2,9,0.2222222222222222
Low (0-1x/wk),2017-10-01,5.424568014162127,5.321262765682334,5.465321388895852,3,9,0.3333333333333333
Low (0-1x/wk),2017-11-01,5.433821640309215,5.3216672083543015,5.5440860338279965,4,9,0.4444444444444444
Low (0-1x/wk),2017-12-01,6.312968566796496,5.158593606292817,7.546364421556628,12,9,1.3333333333333333
Low (0-1x/wk),2018-01-01,5.557176485260843,5.081865769659796,6.713328862343641,14,9,1.5555555555555556
Low (0-1x/wk),2018-02-01,5.4982650602867835,5.32852625689091,6.528064324130199,10,9,1.1111111111111112
Low (0-1x/wk),2018-03-01,6.096662955187703,5.63683684553212,6.669837390968551,16,9,1.7777777777777777
Low (0-1x/wk),2018-04-01,6.020228671943713,5.236478542524921,6.327105310209189,15,9,1.6666666666666667
Low (0-1x/wk),2018-05-01,6.029143699324761,5.7812793539750915,6.512533491424319,10,9,1.1111111111111112
Low (0-1x/wk),2018-06-01,5.483070693378171,5.149362410428566,6.051727499703036,15,9,1.6666666666666667
Low (0-1x/wk),2018-07-01,6.272218825713832,5.333204951268308,6.818393715006356,13,9,1.4444444444444444
Low (0-1x/wk),2018-08-01,6.509484492155316,6.213452664119127,6.689404332750408,10,9,1.1111111111111112
Low (0-1x/wk),2018-09-01,5.9286398268037805,5.376170450275353,6.353994528724156,23,9,2.5555555555555554
Low (0-1x/wk),2018-10-01,6.027432481878146,5.717062002502462,6.265806061978636,13,9,1.4444444444444444
Low (0-1x/wk),2018-11-01,5.255274994896196,4.816325930607606,5.620338615429551,16,9,1.7777777777777777
Low (0-1x/wk),2018-12-01,5.2795830792905445,5.059749681431526,6.001533936068161,12,9,1.3333333333333333
Low (0-1x/wk),2019-01-01,5.389419696405675,4.276264043780996,5.9802356309183,13,9,1.4444444444444444
Low (0-1x/wk),2019-02-01,5.212611688766261,4.996315937525285,5.696288950166748,14,9,1.5555555555555556
Low (0-1x/wk),2019-03-01,4.926239548383661,4.584590183583372,5.223904206014014,13,9,1.4444444444444444
Low (0-1x/wk),2019-04-01,5.101743178749186,4.884249029669339,5.467935752664404,6,9,0.6666666666666666
Low (0-1x/wk),2019-05-01,5.7709303524292785,5.527763480108089,6.482770393574634,14,9,1.5555555555555556
Low (0-1x/wk),2019-06-01,5.758015290242649,5.1396094394455165,6.459562803497747,23,9,2.5555555555555554
Low (0-1x/wk),2019-07-01,5.893851726435898,4.773400903592316,5.9848239428021035,14,9,1.5555555555555556
Low (0-1x/wk),2019-08-01,5.594927913844015,5.236054353965248,6.244396143714104,21,9,2.3333333333333335
Low (0-1x/wk),2019-09-01,5.67775955798266,5.276940159900535,6.838069103839696,32,9,3.5555555555555554
Low (0-1x/wk),2019-10-01,5.604743610002913,5.291509937246049,6.175748576257065,12,9,1.3333333333333333
Low (0-1x/wk),2019-11-01,6.147758600418147,5.658159063040408,6.2413963647785975,6,9,0.6666666666666666
Low (0-1x/wk),2019-12-01,5.749409668348251,5.411175877463684,6.247435888493425,8,9,0.8888888888888888
Low (0-1x/wk),2020-01-01,6.50723373472068,5.884790444683817,7.250313020120052,4,9,0.4444444444444444
Mid (2-3x/wk),2000-01-01,6.004686584651435,6.004686584651435,6.004686584651435,1,77,0.012987012987012988
Mid (2-3x/wk),2010-01-01,5.994411067011108,5.994411067011108,5.994411067011108,1,77,0.012987012987012988
Mid (2-3x/wk),2012-11-01,5.6428988355099605,5.465375416778846,5.900373783674484,14,77,0.18181818181818182
Mid (2-3x/wk),2012-12-01,6.088495756086569,5.682971798184632,6.617632407783009,14,77,0.18181818181818182
Mid (2-3x/wk),2013-01-01,6.237039917055469,5.902366214495808,6.663477950968807,9,77,0.11688311688311688
Mid (2-3x/wk),2013-02-01,5.875698819610519,5.320626772668911,6.645552896180986,8,77,0.1038961038961039
Mid (2-3x/wk),2013-03-01,6.46479765485956,5.994235708769935,6.963190050288666,8,77,0.1038961038961039
Mid (2-3x/wk),2013-04-01,6.693323423905308,6.158337634232532,6.983566455911517,6,77,0.07792207792207792
Mid (2-3x/wk),2013-05-01,5.57628293177909,5.405397952779913,5.654611027889807,3,77,0.03896103896103896
Mid (2-3x/wk),2013-06-01,6.78127350767733,6.78127350767733,6.78127350767733,1,77,0.012987012987012988
Mid (2-3x/wk),2013-07-01,6.092904951034324,5.784209832335494,8.304886779693982,8,77,0.1038961038961039
Mid (2-3x/wk),2013-08-01,5.717089046832747,5.539902642397971,6.356995473313079,23,77,0.2987012987012987
Mid (2-3x/wk),2013-09-01,5.8698363783109535,5.705599729111618,6.4018211628093376,11,77,0.14285714285714285
Mid (2-3x/wk),2013-10-01,5.292561470832297,5.118588811077771,5.5709303219448145,16,77,0.2077922077922078
Mid (2-3x/wk),2013-11-01,5.414623991648504,4.997798216370591,6.091143879172523,14,77,0.18181818181818182
